City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Broken Hill,-31.95,141.4333,62.4,52,44,8.01,AU,2022-06-22 06:07:58
68,Adoni,15.6333,77.2833,86.13,50,98,14.25,IN,2022-06-22 06:07:58
69,Tasiilaq,65.6145,-37.6368,33.96,91,79,2.55,GL,2022-06-22 06:07:59
70,Hasaki,35.7333,140.8333,77.29,85,58,11.3,JP,2022-06-22 06:07:59
71,Upernavik,72.7868,-56.1549,33.82,99,100,8.75,GL,2022-06-22 06:08:00
72,Peniche,39.3558,-9.3811,63.1,89,90,9.64,PT,2022-06-22 06:08:00
73,Taoudenni,22.6783,-3.9836,91.27,33,1,11.61,ML,2022-06-22 06:08:00
74,Arlit,18.7369,7.3853,89.53,26,3,10.31,NE,2022-06-22 06:08:01
75,Lasa,46.6166,10.7002,62.69,69,51,1.81,IT,2022-06-22 06:08:01
76,Shenjiamen,29.9576,122.298,77.22,88,54,15.48,CN,2022-06-22 06:08:01
77,Abakaliki,6.3163,8.1169,73.17,95,98,4.21,NG,2022-06-22 06:08:02
78,Carnarvon,-24.8667,113.6333,76.01,39,0,6.85,AU,2022-06-22 06:08:03
79,Dikson,73.5069,80.5464,35.13,91,100,18.34,RU,2022-06-22 06:08:03
80,Sangolqui,-0.3341,-78.4522,54.09,90,36,5.14,EC,2022-06-22 06:08:03
81,Svetlogorsk,52.6333,29.7333,53.31,94,64,7.96,BY,2022-06-22 06:08:04
82,Wairoa,-39.0333,177.3667,53.55,75,98,4.0,NZ,2022-06-22 06:05:59
83,Vaini,-21.2,-175.2,75.36,69,40,11.5,TO,2022-06-22 06:08:04
84,Viedma,-40.8135,-62.9967,39.56,72,83,6.13,AR,2022-06-22 06:08:05
85,Lebu,-37.6167,-73.65,47.77,83,87,5.84,CL,2022-06-22 06:08:05
86,Port Lincoln,-34.7333,135.8667,61.39,72,96,13.89,AU,2022-06-22 06:08:06
87,Napier,-39.4833,176.9167,50.29,78,70,3.0,NZ,2022-06-22 06:08:06
88,Provideniya,64.3833,-173.3,41.59,96,100,8.5,RU,2022-06-22 06:08:06
89,Taber,49.8167,-112.1518,60.01,59,42,13.11,CA,2022-06-22 06:08:07
90,Matara,5.9485,80.5353,83.7,74,100,13.33,LK,2022-06-22 06:08:07
91,New Norfolk,-42.7826,147.0587,52.72,83,49,1.1,AU,2022-06-22 06:08:07
92,Salisbury,51.0693,-1.7957,59.97,82,0,4.61,GB,2022-06-22 06:05:47
93,Issa,53.8705,44.8578,64.33,89,91,8.52,RU,2022-06-22 06:08:08
94,Cabo San Lucas,22.8909,-109.9124,84.61,68,18,4.0,MX,2022-06-22 06:04:18
95,Airai,-8.9266,125.4092,70.7,51,32,6.31,TL,2022-06-22 06:09:08
96,Atar,20.5169,-13.0499,83.95,56,12,4.56,MR,2022-06-22 06:09:09
97,Alofi,-19.0595,-169.9187,79.36,78,83,11.01,NU,2022-06-22 06:09:09
98,Portland,45.5234,-122.6762,70.38,73,20,8.05,US,2022-06-22 06:06:48
99,Lucapa,-8.4192,20.7447,66.49,42,7,3.02,AO,2022-06-22 06:09:10
