City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Souillac,MU,-20.5167,57.5167,69.85,67,28,10.6,scattered clouds
352,Norman Wells,CA,65.282,-126.8329,75.07,19,82,6.38,broken clouds
353,Port-Gentil,GA,-0.7193,8.7815,72.09,79,100,12.84,overcast clouds
354,Maumere,ID,-8.6199,122.2111,81.46,67,100,5.91,overcast clouds
355,Genhe,CN,50.7833,121.5167,74.64,41,100,2.55,overcast clouds
356,Auki,SB,-8.7676,160.7034,86.52,61,13,1.21,few clouds
357,Pacific Grove,US,36.6177,-121.9166,69.21,86,75,8.05,haze
358,Ures,MX,29.4333,-110.4,103.06,20,0,9.86,clear sky
359,Guasdualito,VE,7.2424,-70.7324,74.93,88,5,3.04,clear sky
360,Maceio,BR,-9.6658,-35.7353,71.04,94,100,9.22,mist
361,Contai,IN,21.7786,87.7536,84.61,72,15,9.13,few clouds
362,Bumba,CD,2.1833,22.4667,70.5,96,82,0.56,broken clouds
363,Baracoa,CU,20.3467,-74.4958,78.69,84,78,3.62,broken clouds
364,Novikovo,RU,51.1537,37.8879,57.27,97,86,2.21,overcast clouds
365,Kysyl-Syr,RU,63.8986,122.7617,74.64,51,100,4.21,overcast clouds
366,Suez,EG,29.9737,32.5263,72.1,67,0,7.25,clear sky
367,Paamiut,GL,61.994,-49.6678,37.31,93,14,22.93,few clouds
368,Todos Santos,MX,23.45,-110.2167,76.44,72,8,7.72,clear sky
369,Thinadhoo,MV,0.5333,72.9333,82.94,71,23,6.08,few clouds
370,Ponta Do Sol,PT,32.6667,-17.1,66.83,67,40,4.65,scattered clouds
371,Yar-Sale,RU,66.8333,70.8333,69.94,61,7,6.42,clear sky
372,Indramayu,ID,-6.3264,108.32,79.66,77,94,6.44,overcast clouds
373,Huilong,CN,31.8111,121.655,88.93,59,76,14.03,broken clouds
374,Bayir,TR,37.2687,28.2167,64.92,55,5,3.85,clear sky
375,Barranca,PE,-10.75,-77.7667,61.81,80,15,10.04,few clouds
376,Inhambane,MZ,-23.865,35.3833,69.19,70,100,9.89,overcast clouds
377,Prado,BR,-17.3411,-39.2208,71.38,88,6,5.75,clear sky
378,Kalaleh,IR,37.3807,55.4916,73.72,66,98,4.12,overcast clouds
379,Port Moresby,PG,-9.4431,147.1797,82.9,70,73,9.22,broken clouds
380,Nantucket,US,41.2835,-70.0995,64.02,93,0,9.22,clear sky
381,Urucara,BR,-2.5364,-57.76,75.79,74,33,2.84,scattered clouds
382,Isangel,VU,-19.55,169.2667,75.47,64,96,10.33,overcast clouds
383,Billings,US,45.7833,-108.5007,86.29,24,0,5.01,clear sky
384,Ponta Delgada,PT,37.7333,-25.6667,64.51,88,40,10.36,light rain
385,Namatanai,PG,-3.6667,152.4333,85.35,66,93,4.29,overcast clouds
386,Tuatapere,NZ,-46.1333,167.6833,47.84,58,100,3.71,overcast clouds
387,Emerald,AU,-23.5333,148.1667,67.33,52,0,12.3,clear sky
388,Southbridge,US,42.0751,-72.0334,62.71,95,10,3.47,clear sky
389,Fare,PF,-16.7,-151.0167,80.17,67,16,7.87,few clouds
390,Chulman,RU,56.8479,124.9104,64.33,77,83,2.1,light rain
391,Herat,AF,34.5,62.0,71.15,16,0,9.24,clear sky
392,Shimoda,JP,34.6667,138.95,73.76,88,88,4.81,overcast clouds
393,Douglas,US,41.3,-96.167,85.93,39,0,6.91,clear sky
394,Half Moon Bay,US,37.4636,-122.4286,83.03,65,75,13.8,broken clouds
395,Ostrovnoy,RU,68.0531,39.5131,50.52,76,99,13.09,overcast clouds
396,Boguchany,RU,58.3814,97.4531,65.97,46,97,5.41,overcast clouds
397,Petatlan,MX,17.5167,-101.2667,82.2,94,100,4.59,overcast clouds
398,Gombong,ID,-7.6072,109.5142,79.47,80,87,2.51,overcast clouds
399,Egvekinot,RU,66.3167,-179.1667,40.84,81,92,6.78,overcast clouds
400,Dali,CN,25.7,100.1833,66.6,87,100,4.9,overcast clouds
401,Khandyga,RU,62.6667,135.6,76.6,40,0,5.21,clear sky
402,Pahrump,US,36.2083,-115.9839,80.65,45,100,5.99,overcast clouds
403,Apac,UG,1.9756,32.5386,63.01,88,84,1.36,broken clouds
404,Jinxiang,CN,27.4327,120.6062,82.04,82,9,10.38,clear sky
405,Taiyuan,CN,37.8694,112.5603,75.06,69,0,4.47,clear sky
406,Samarai,PG,-10.6167,150.6667,79.45,83,99,15.93,light rain
407,Zaoyang,CN,32.1272,112.7542,76.78,94,100,5.48,overcast clouds
408,The Valley,AI,18.217,-63.0578,82.81,74,6,10.38,clear sky
409,Gushikawa,JP,26.3544,127.8686,87.8,74,20,12.66,few clouds
410,Piracuruca,BR,-3.9281,-41.7092,74.98,70,100,2.44,overcast clouds
411,Labuhan,ID,-6.8844,112.2051,79.72,77,99,7.92,overcast clouds
412,Amarpur,IN,25.0333,86.9,85.66,69,22,7.9,few clouds
413,Kargil,IN,34.5667,76.1,46.81,56,3,3.22,clear sky
414,Kozyatyn,UA,49.7143,28.8339,52.81,96,100,15.26,overcast clouds
415,Belyy Yar,RU,53.6039,91.3903,66.85,77,40,13.42,light rain
416,Catuday,PH,16.2923,119.8062,80.67,70,100,8.46,overcast clouds
417,Bilibino,RU,68.0546,166.4372,63.7,34,100,20.92,overcast clouds
418,Karratha,AU,-20.7377,116.8463,74.1,30,0,13.85,clear sky
419,Huarmey,PE,-10.0681,-78.1522,63.07,82,5,10.38,clear sky
420,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,84,94,9.78,overcast clouds
421,Kanye,BW,-24.9667,25.3327,50.11,71,86,15.39,overcast clouds
422,Brigantine,US,39.4101,-74.3646,65.19,93,100,10.36,overcast clouds
423,Lorengau,PG,-2.0226,147.2712,84.69,67,38,5.1,scattered clouds
424,Saint-Pierre,RE,-21.3393,55.4781,66.9,88,100,9.22,overcast clouds
425,Richards Bay,ZA,-28.783,32.0377,65.75,76,100,7.05,light rain
426,Tazovskiy,RU,67.4667,78.7,69.8,49,63,11.79,broken clouds
427,Hofn,IS,64.2539,-15.2082,45.99,56,100,9.84,overcast clouds
428,Seoul,KR,37.5683,126.9778,74.64,74,100,5.06,heavy intensity rain
429,Narasannapeta,IN,18.4167,84.05,82.09,76,100,3.65,overcast clouds
430,Biak,ID,-0.9131,122.8766,77.67,85,93,3.96,overcast clouds
431,Kieta,PG,-6.2167,155.6333,85.28,65,43,3.65,scattered clouds
432,Sangar,RU,63.9242,127.4739,73.09,38,8,14.32,clear sky
433,Hobyo,SO,5.3505,48.5268,77.41,79,100,23.51,overcast clouds
434,Celestun,MX,20.8667,-90.4,79.86,82,100,15.79,overcast clouds
435,Tuku,TW,23.6778,120.3926,89.46,58,13,8.32,few clouds
436,Kadaura,IN,25.9833,79.85,91.49,42,16,7.05,few clouds
437,Sorland,NO,67.667,12.6934,48.06,87,25,26.22,scattered clouds
438,Dawson Creek,CA,55.7666,-120.2362,62.46,48,3,8.12,clear sky
439,Kholmogory,RU,64.2229,41.656,46.45,83,14,2.75,few clouds
440,Enshi,CN,30.3,109.4833,77.81,95,100,2.01,overcast clouds
441,Nanakuli,US,21.3906,-158.1547,83.57,57,40,14.97,scattered clouds
442,Komsomolskiy,UZ,40.4272,71.7189,68.72,64,100,6.91,overcast clouds
443,Sabaudia,IT,41.3003,13.0282,75.78,85,1,8.88,clear sky
444,Kushiro,JP,42.975,144.3747,56.23,87,100,7.31,overcast clouds
445,Alyangula,AU,-13.8483,136.4192,79.9,63,14,17.34,few clouds
446,Kapoeta,SS,4.7717,33.5903,76.21,56,36,6.24,scattered clouds
447,Bandarbeyla,SO,9.4942,50.8122,77.4,78,100,27.16,overcast clouds
448,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.09,98,90,1.32,overcast clouds
449,Nabire,ID,-3.3667,135.4833,81.03,82,29,2.51,scattered clouds
450,Ndele,CF,8.4109,20.6473,68.38,96,33,1.95,light rain
451,Caucaia,BR,-3.7361,-38.6531,75.15,78,0,6.91,light rain
452,Ambilobe,MG,-13.2,49.05,61.99,86,0,4.12,clear sky
453,Vao,NC,-22.6667,167.4833,71.33,69,100,16.11,overcast clouds
454,Rawson,AR,-43.3002,-65.1023,36.45,49,1,6.13,clear sky
455,Sembe,CG,1.6481,14.5806,70.32,97,100,1.7,overcast clouds
456,Fort Nelson,CA,58.8053,-122.7002,55.42,95,100,3.06,light rain
457,Mount Gambier,AU,-37.8333,140.7667,55.31,88,75,16.11,broken clouds
458,Voyvozh,RU,62.892,54.9635,48.76,98,100,7.25,moderate rain
459,Saldanha,ZA,-33.0117,17.9442,59.18,91,3,5.08,light rain
460,Grindavik,IS,63.8424,-22.4338,45.07,87,75,17.27,light intensity drizzle
461,Port Hardy,CA,50.6996,-127.4199,54.05,72,19,17.05,few clouds
462,Bahia Honda,CU,22.9036,-83.1592,77.81,80,37,9.01,scattered clouds
463,Pala,TD,9.3642,14.9046,76.03,74,100,4.52,overcast clouds
464,Ust-Ordynskiy,RU,52.805,104.7508,66.13,51,7,2.75,clear sky
465,Raxaul,IN,26.9833,84.85,87.12,63,2,7.94,clear sky
466,Naze,JP,28.3667,129.4833,79.88,80,0,11.12,clear sky
467,Corumba,BR,-19.0092,-57.6533,74.44,50,5,3.85,clear sky
468,Along,IN,28.1667,94.7667,76.73,96,100,0.58,overcast clouds
469,Upata,VE,8.0086,-62.3989,74.19,96,89,4.09,overcast clouds
470,Heilbron,ZA,-27.2812,27.9709,46.38,86,99,15.95,overcast clouds
471,Venice,US,27.0998,-82.4543,86.02,60,100,6.91,overcast clouds
472,Aviemore,GB,57.1955,-3.8259,54.48,96,3,6.8,clear sky
473,Mabama,TZ,-5.1333,32.5333,59.07,52,0,4.59,clear sky
474,A Coruna,ES,43.3713,-8.396,61.52,89,100,3.0,overcast clouds
475,Remontnoye,RU,46.5614,43.6501,60.87,64,21,10.11,few clouds
476,Tateyama,JP,34.9833,139.8667,73.15,87,44,2.77,scattered clouds
477,Florianopolis,BR,-27.6146,-48.5012,61.83,88,100,5.75,overcast clouds
478,Boshnyakovo,RU,49.6333,142.1667,58.62,75,100,10.07,overcast clouds
479,Saint-Georges,GD,12.0564,-61.7485,79.09,83,80,11.01,broken clouds
480,Botelhos,BR,-21.6333,-46.395,57.56,74,2,1.99,clear sky
481,Rio Claro,BR,-22.4114,-47.5614,65.3,58,6,5.19,clear sky
482,Vostok,RU,46.4856,135.8833,66.79,68,100,4.16,moderate rain
483,Serra,BR,-20.1286,-40.3078,72.86,88,40,5.75,scattered clouds
484,Satun,TH,6.8333,100.0,78.8,94,100,0.98,overcast clouds
485,Buraydah,SA,26.326,43.975,84.34,17,92,10.33,light rain
486,Surt,LY,31.2089,16.5887,74.53,73,0,7.25,clear sky
487,Vysokogornyy,RU,50.1167,139.15,73.2,57,98,1.97,overcast clouds
488,Male,MV,4.1748,73.5089,82.9,74,100,8.93,overcast clouds
489,Khunti,IN,23.0833,85.2833,75.67,80,84,1.23,broken clouds
490,Scottsbluff,US,41.8666,-103.6672,88.03,26,0,19.57,clear sky
491,Makat,KZ,47.6469,53.3463,80.53,37,69,9.66,broken clouds
492,Nelson Bay,AU,-32.7167,152.15,59.0,71,54,8.01,broken clouds
493,San Luis,AR,-33.295,-66.3356,40.44,75,70,8.52,broken clouds
494,Xichang,CN,27.8964,102.2634,68.95,96,100,1.77,heavy intensity rain
495,Chalus,IR,36.655,51.4204,75.67,65,0,13.18,clear sky
496,Kampong Cham,KH,11.9934,105.4635,81.61,81,99,1.88,overcast clouds
497,Omboue,GA,-1.5746,9.2618,68.92,89,12,5.84,few clouds
498,Lodja,CD,-3.4833,23.4333,74.57,57,85,0.47,overcast clouds
499,Gaoua,BF,10.2992,-3.2508,73.06,87,100,1.77,overcast clouds
500,Luau,AO,-10.7073,22.2247,56.05,52,0,4.54,clear sky
501,Mazagao,BR,-0.115,-51.2894,78.85,93,5,2.77,clear sky
502,Serenje,ZM,-13.2325,30.2352,47.16,92,0,6.31,clear sky
503,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.15,45,7,1.97,clear sky
504,Lakes Entrance,AU,-37.8811,147.981,63.16,62,100,8.99,overcast clouds
505,Saint Anthony,US,45.0205,-93.218,82.33,43,0,8.05,clear sky
506,Wasilla,US,61.5814,-149.4394,81.66,44,20,9.22,few clouds
507,Xai-Xai,MZ,-25.0519,33.6442,66.24,70,73,5.03,broken clouds
508,Venado Tuerto,AR,-33.7456,-61.9688,39.76,52,100,6.62,overcast clouds
509,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.04,80,100,15.75,overcast clouds
510,Cartagena,CO,10.3997,-75.5144,82.02,89,40,5.75,scattered clouds
511,Asau,RO,46.4333,26.4,52.72,77,42,5.23,scattered clouds
512,Flinders,AU,-34.5833,150.8552,63.18,61,94,3.0,overcast clouds
513,The Pas,CA,53.8251,-101.2541,60.82,88,100,2.3,overcast clouds
514,East London,ZA,-33.0153,27.9116,62.26,80,100,10.54,overcast clouds
515,Mindelo,CV,16.8901,-24.9804,76.55,83,75,13.8,broken clouds
516,Teacapan,MX,22.55,-105.75,82.33,76,100,6.71,overcast clouds
517,Strezhevoy,RU,60.7333,77.5889,60.48,78,100,5.08,overcast clouds
518,Bam,IR,29.106,58.357,86.58,23,46,8.41,scattered clouds
519,Mishkino,RU,55.3389,63.9175,57.15,89,1,9.08,clear sky
520,Nova Olinda Do Norte,BR,-3.8881,-59.0942,77.05,68,76,1.21,broken clouds
521,Khakhea,BW,-24.6895,23.494,53.91,58,99,5.61,overcast clouds
522,Noyabrsk,RU,63.1994,75.4507,63.5,83,99,5.41,light rain
523,Tabou,CI,4.423,-7.3528,77.74,84,93,10.11,light rain
524,Amahai,ID,-3.3333,128.9167,82.15,75,85,1.14,overcast clouds
525,San Lorenzo,PY,-25.3333,-57.5333,58.14,94,100,10.36,overcast clouds
526,Atherton,GB,53.5237,-2.4935,59.22,84,32,2.51,scattered clouds
527,Mackenzie,CA,55.2999,-123.1698,58.62,33,69,6.53,broken clouds
528,Mount Isa,AU,-20.7333,139.5,71.37,33,0,14.97,clear sky
529,Tura,IN,25.5198,90.2201,76.15,92,100,5.91,overcast clouds
530,Carutapera,BR,-1.195,-46.02,73.67,94,86,5.1,overcast clouds
531,Lesozavodsk,RU,45.4794,133.4244,66.72,82,100,5.77,overcast clouds
532,Mahanoro,MG,-19.9,48.8,61.59,86,24,7.65,few clouds
533,Goure,NE,13.9835,10.2704,88.02,40,37,8.7,scattered clouds
534,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.21,96,100,7.63,overcast clouds
535,Lampang,TH,18.3333,99.5,78.89,73,100,2.13,overcast clouds
536,Las Lomas,PA,8.4333,-82.4,76.41,94,40,3.44,scattered clouds
537,Raipur,IN,21.2333,81.6333,78.94,94,75,2.3,mist
538,Portree,GB,57.4129,-6.1942,52.52,97,100,12.01,overcast clouds
539,Kota Kinabalu,MY,5.9749,116.0724,84.18,74,20,2.3,few clouds
540,Harrai,IN,22.6167,79.2167,79.3,72,9,2.37,clear sky
541,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,68,75,8.05,broken clouds
542,Gat,IL,31.61,34.7642,74.08,100,2,3.06,clear sky
543,Ekibastuz,KZ,51.6667,75.3667,70.77,49,0,14.2,clear sky
544,Roma,US,43.2128,-75.4557,67.87,78,100,12.66,overcast clouds
545,Hauterive,FR,46.0901,3.4459,66.96,96,65,3.04,broken clouds
546,Puerto Suarez,BO,-18.95,-57.8,76.03,48,5,4.7,clear sky
547,Lerwick,GB,60.1545,-1.1494,51.8,95,100,20.62,overcast clouds
548,Padang,ID,-0.9492,100.3543,75.25,80,100,2.95,overcast clouds
549,Daru,PG,-9.0763,143.2092,78.64,88,78,19.73,broken clouds
550,Santo Domingo,DO,18.5001,-69.9886,83.03,77,100,3.0,overcast clouds
551,Syamzha,RU,60.0158,41.0614,44.87,90,3,4.25,clear sky
552,La Grande,US,45.3246,-118.0877,83.01,46,23,8.39,few clouds
553,Talaya,RU,61.3833,152.75,67.46,50,100,15.14,overcast clouds
554,Nanortalik,GL,60.1432,-45.2371,40.96,79,0,16.28,clear sky
555,Itoman,JP,26.1247,127.6694,88.57,77,20,12.66,few clouds
556,Coffs Harbour,AU,-30.3,153.1333,64.36,45,0,6.91,clear sky
557,Rio Brilhante,BR,-21.8019,-54.5464,71.28,62,4,6.96,clear sky
558,Santa Cruz,BO,-17.8,-63.1667,74.66,78,20,9.22,few clouds
559,Abha,SA,18.2164,42.5053,66.45,88,0,6.91,clear sky
560,Carballo,ES,43.213,-8.691,60.49,93,99,2.19,overcast clouds
561,Honiara,SB,-9.4333,159.95,86.52,64,18,4.45,few clouds
562,Wajima,JP,37.4,136.9,74.59,82,100,10.65,overcast clouds
563,Calvinia,ZA,-31.4707,19.776,50.11,93,100,5.44,overcast clouds
564,Tupiza,BO,-21.45,-65.7167,44.28,9,0,9.55,clear sky
565,Launceston,AU,-41.45,147.1667,55.15,93,75,14.97,broken clouds
566,San Policarpo,PH,12.1791,125.5072,81.97,79,100,6.11,overcast clouds
567,Pacifica,US,37.6138,-122.4869,78.73,77,75,13.8,broken clouds
568,Hutchinson,US,38.0608,-97.9298,74.75,93,0,0.0,clear sky
569,Salinas,US,36.6777,-121.6555,74.98,67,0,16.11,haze
570,Aksarka,RU,66.5606,67.7975,64.89,75,1,10.45,clear sky
571,Kotovo,RU,50.3211,44.8012,62.4,83,100,0.83,light rain
572,Mareeba,AU,-17.0,145.4333,73.49,68,0,9.35,clear sky
573,Kifri,IQ,34.6959,44.9661,81.9,35,0,5.28,clear sky
574,Poum,NC,-20.2333,164.0167,72.82,59,100,3.87,overcast clouds
